Datum;Uhrzeit;Generation_DE R[MW];Generation_DE Q[MW];Generation_DE P[MW];Generation_DE N[MW]
23.01.2020;21:00;556;0;496;499
23.01.2020;22:00;544;0;497;500
23.01.2020;23:00;560;0;494;500
24.01.2020;00:00;542;0;496;500
24.01.2020;01:00;549;0;495;499
24.01.2020;02:00;536;0;494;500
24.01.2020;03:00;550;0;496;500
24.01.2020;04:00;538;0;497;499
24.01.2020;05:00;554;0;495;496
24.01.2020;06:00;573;0;491;495
24.01.2020;07:00;576;0;494;500
24.01.2020;08:00;578;0;497;500
24.01.2020;09:00;574;0;497;502
24.01.2020;10:00;575;0;497;498
24.01.2020;11:00;578;0;496;500
24.01.2020;12:00;572;0;497;499
24.01.2020;13:00;580;0;496;502
24.01.2020;14:00;573;0;495;500
24.01.2020;15:00;567;0;493;499
24.01.2020;16:00;576;0;490;500
24.01.2020;17:00;581;0;488;500
24.01.2020;18:00;579;0;492;501
24.01.2020;19:00;574;0;493;499
24.01.2020;20:00;571;0;495;501
24.01.2020;21:00;562;0;495;500
24.01.2020;22:00;562;0;492;499
24.01.2020;23:00;561;0;492;499
25.01.2020;00:00;553;0;487;497
25.01.2020;01:00;540;0;486;500
25.01.2020;02:00;535;0;485;498
25.01.2020;03:00;535;0;485;498
25.01.2020;04:00;546;0;483;498
25.01.2020;05:00;584;0;486;496
25.01.2020;06:00;586;0;497;496
25.01.2020;07:00;577;0;497;496
25.01.2020;08:00;582;0;496;499
25.01.2020;09:00;583;0;496;499
25.01.2020;10:00;584;0;492;499
25.01.2020;11:00;584;0;494;496
25.01.2020;12:00;579;252;498;500
25.01.2020;13:00;579;388;497;499
25.01.2020;14:00;575;583;499;499
25.01.2020;15:00;575;615;496;496
25.01.2020;16:00;577;706;492;498
25.01.2020;17:00;573;707;495;498
25.01.2020;18:00;575;707;496;498
25.01.2020;19:00;573;708;497;500
25.01.2020;20:00;577;709;498;499
25.01.2020;21:00;588;710;498;500
25.01.2020;22:00;593;792;498;498
25.01.2020;23:00;587;831;497;499
26.01.2020;00:00;586;565;494;500
26.01.2020;01:00;589;0;492;498
26.01.2020;02:00;592;0;495;499
26.01.2020;03:00;590;0;494;498
26.01.2020;04:00;585;0;494;496
26.01.2020;05:00;580;0;491;499
26.01.2020;06:00;578;0;488;499
26.01.2020;07:00;573;0;487;498
26.01.2020;08:00;579;0;491;496
26.01.2020;09:00;573;0;494;498
26.01.2020;10:00;573;0;489;496
26.01.2020;11:00;576;0;493;500
26.01.2020;12:00;574;0;495;500
26.01.2020;13:00;580;0;498;500
26.01.2020;14:00;577;0;493;499
26.01.2020;15:00;580;0;496;500
26.01.2020;16:00;580;0;496;500
26.01.2020;17:00;580;0;494;500
26.01.2020;18:00;578;0;494;500
26.01.2020;19:00;577;0;493;499
26.01.2020;20:00;578;0;494;499
26.01.2020;21:00;583;0;497;449
26.01.2020;22:00;583;0;496;496
26.01.2020;23:00;579;0;496;481
27.01.2020;00:00;582;0;494;480
27.01.2020;01:00;582;0;492;495
27.01.2020;02:00;586;0;483;497
27.01.2020;03:00;578;345;454;471
27.01.2020;04:00;357;423;476;448
27.01.2020;05:00;419;43;494;498
27.01.2020;06:00;549;212;494;494
27.01.2020;07:00;534;530;495;500
27.01.2020;08:00;537;631;495;500
27.01.2020;09:00;544;760;495;490
27.01.2020;10:00;541;829;495;498
27.01.2020;11:00;551;824;495;499
27.01.2020;12:00;554;827;495;495
27.01.2020;13:00;547;829;495;502
27.01.2020;14:00;539;828;494;499
27.01.2020;15:00;549;832;495;501
27.01.2020;16:00;558;832;494;498
27.01.2020;17:00;560;831;497;501
27.01.2020;18:00;537;832;496;499
27.01.2020;19:00;542;832;498;499
27.01.2020;20:00;546;832;495;498
27.01.2020;21:00;541;822;493;499
27.01.2020;22:00;543;822;493;500
27.01.2020;23:00;541;817;494;499
28.01.2020;00:00;555;709;494;445
28.01.2020;01:00;510;591;482;410
28.01.2020;02:00;503;564;437;404
28.01.2020;03:00;312;512;413;403
28.01.2020;04:00;304;510;397;400
28.01.2020;05:00;431;633;430;410
28.01.2020;06:00;561;707;488;485
28.01.2020;07:00;563;829;492;498
28.01.2020;08:00;565;819;492;501
28.01.2020;09:00;564;824;492;499
28.01.2020;10:00;566;687;492;439
28.01.2020;11:00;576;705;493;437
28.01.2020;12:00;564;824;493;491
28.01.2020;13:00;569;805;476;501
28.01.2020;14:00;555;797;476;495
28.01.2020;15:00;562;720;484;416
28.01.2020;16:00;560;730;488;409
28.01.2020;17:00;560;772;486;433
28.01.2020;18:00;569;724;488;433
28.01.2020;19:00;583;568;488;429
28.01.2020;20:00;577;600;451;427
28.01.2020;21:00;565;561;463;401
28.01.2020;22:00;458;528;437;360
28.01.2020;23:00;366;428;403;203
29.01.2020;00:00;376;426;381;178
29.01.2020;01:00;333;430;381;194
29.01.2020;02:00;381;432;361;208
29.01.2020;03:00;378;439;360;208
29.01.2020;04:00;335;554;370;175
29.01.2020;05:00;464;590;477;174
29.01.2020;06:00;603;798;495;213
29.01.2020;07:00;604;635;495;179
29.01.2020;08:00;596;549;497;216
29.01.2020;09:00;585;566;495;214
29.01.2020;10:00;574;614;483;183
29.01.2020;11:00;560;574;497;215
29.01.2020;12:00;556;548;496;216
29.01.2020;13:00;551;548;495;181
29.01.2020;14:00;549;548;494;182
29.01.2020;15:00;542;561;493;183
29.01.2020;16:00;551;651;492;182
29.01.2020;17:00;552;749;492;182
29.01.2020;18:00;554;798;495;214
29.01.2020;19:00;543;801;493;214
29.01.2020;20:00;542;823;494;213
29.01.2020;21:00;559;829;495;212
29.01.2020;22:00;555;775;493;211
29.01.2020;23:00;557;597;491;171
30.01.2020;00:00;552;608;489;170
30.01.2020;01:00;529;551;489;168
30.01.2020;02:00;381;510;460;163
30.01.2020;03:00;232;510;402;171
30.01.2020;04:00;238;510;397;190
30.01.2020;05:00;293;511;402;345
30.01.2020;06:00;556;519;477;428
30.01.2020;07:00;583;676;458;433
30.01.2020;08:00;562;828;413;427
30.01.2020;09:00;466;825;413;425
30.01.2020;10:00;455;829;412;423
30.01.2020;11:00;537;825;406;411
30.01.2020;12:00;351;825;455;422
30.01.2020;13:00;383;829;466;441
30.01.2020;14:00;472;825;483;455
30.01.2020;15:00;493;827;489;460
30.01.2020;16:00;541;821;485;494
30.01.2020;17:00;543;821;490;498
30.01.2020;18:00;541;821;491;499
