Datum;Uhrzeit;Generation_DE Gas-und-Dampfturbinen Mitte[MW]
12.02.2020;16:00;414
12.02.2020;17:00;402
12.02.2020;18:00;401
12.02.2020;19:00;401
12.02.2020;20:00;401
12.02.2020;21:00;401
12.02.2020;22:00;401
12.02.2020;23:00;402
13.02.2020;00:00;402
13.02.2020;01:00;402
13.02.2020;02:00;402
13.02.2020;03:00;402
13.02.2020;04:00;402
13.02.2020;05:00;401
13.02.2020;06:00;401
13.02.2020;07:00;401
13.02.2020;08:00;402
13.02.2020;09:00;428
13.02.2020;10:00;437
13.02.2020;11:00;425
13.02.2020;12:00;366
13.02.2020;13:00;291
13.02.2020;14:00;291
13.02.2020;15:00;333
13.02.2020;16:00;405
13.02.2020;17:00;421
13.02.2020;18:00;421
13.02.2020;19:00;421
13.02.2020;20:00;421
13.02.2020;21:00;421
