Datum;Uhrzeit;Generation_DE Block 3[MW];Generation_DE Block 4[MW];Generation_DE Block 5[MW]
27.01.2020;20:00;-;47;170
27.01.2020;21:00;-;45;174
27.01.2020;22:00;-;39;162
27.01.2020;23:00;-;50;148
28.01.2020;00:00;-;51;183
28.01.2020;01:00;-;45;191
28.01.2020;02:00;-;46;199
28.01.2020;03:00;-;46;198
28.01.2020;04:00;-;43;198
28.01.2020;05:00;-;55;209
28.01.2020;06:00;-;49;206
28.01.2020;07:00;-;44;181
28.01.2020;08:00;-;41;146
28.01.2020;09:00;-;52;170
28.01.2020;10:00;-;46;169
28.01.2020;11:00;-;46;193
28.01.2020;12:00;-;38;151
28.01.2020;13:00;-;37;127
28.01.2020;14:00;-;39;128
28.01.2020;15:00;-;42;125
28.01.2020;16:00;-;48;138
28.01.2020;17:00;-;38;142
28.01.2020;18:00;-;39;143
28.01.2020;19:00;-;41;146
28.01.2020;20:00;-;40;144
28.01.2020;21:00;-;41;141
28.01.2020;22:00;-;42;160
28.01.2020;23:00;-;42;158
29.01.2020;00:00;-;47;145
29.01.2020;01:00;-;46;167
29.01.2020;02:00;-;41;162
29.01.2020;03:00;-;41;164
29.01.2020;04:00;-;43;157
29.01.2020;05:00;-;42;162
29.01.2020;06:00;-;39;140
29.01.2020;07:00;-;42;143
29.01.2020;08:00;-;39;148
29.01.2020;09:00;-;41;149
29.01.2020;10:00;-;45;132
29.01.2020;11:00;-;38;134
29.01.2020;12:00;-;39;150
29.01.2020;13:00;-;42;145
29.01.2020;14:00;-;47;154
29.01.2020;15:00;-;61;174
29.01.2020;16:00;-;39;136
29.01.2020;17:00;-;44;129
29.01.2020;18:00;-;45;131
29.01.2020;19:00;-;49;153
29.01.2020;20:00;-;47;156
29.01.2020;21:00;-;51;167
29.01.2020;22:00;-;49;163
29.01.2020;23:00;-;52;157
30.01.2020;00:00;-;49;179
30.01.2020;01:00;-;43;171
30.01.2020;02:00;-;41;159
30.01.2020;03:00;-;41;157
30.01.2020;04:00;-;47;167
30.01.2020;05:00;-;45;180
30.01.2020;06:00;-;47;180
30.01.2020;07:00;-;51;152
30.01.2020;08:00;-;64;171
30.01.2020;09:00;-;79;188
30.01.2020;10:00;-;80;180
30.01.2020;11:00;-;82;187
30.01.2020;12:00;-;80;203
30.01.2020;13:00;-;80;214
30.01.2020;14:00;-;70;194
30.01.2020;15:00;-;80;216
30.01.2020;16:00;-;83;215
30.01.2020;17:00;-;83;209
30.01.2020;18:00;-;84;194
30.01.2020;19:00;-;83;199
30.01.2020;20:00;-;83;213
30.01.2020;21:00;-;89;213
30.01.2020;22:00;-;85;213
30.01.2020;23:00;-;68;183
31.01.2020;00:00;-;53;143
31.01.2020;01:00;-;57;137
31.01.2020;02:00;-;50;133
31.01.2020;03:00;-;57;149
31.01.2020;04:00;-;47;127
31.01.2020;05:00;-;40;115
31.01.2020;06:00;-;44;141
31.01.2020;07:00;-;47;135
31.01.2020;08:00;-;42;136
31.01.2020;09:00;-;41;132
31.01.2020;10:00;-;47;134
31.01.2020;11:00;-;47;139
31.01.2020;12:00;-;40;149
31.01.2020;13:00;-;45;143
31.01.2020;14:00;-;48;170
31.01.2020;15:00;-;47;149
31.01.2020;16:00;-;46;154
31.01.2020;17:00;-;44;138
31.01.2020;18:00;-;34;130
31.01.2020;19:00;-;39;126
31.01.2020;20:00;-;47;142
31.01.2020;21:00;-;42;128
31.01.2020;22:00;-;40;146
31.01.2020;23:00;-;49;167
01.02.2020;00:00;-;45;149
01.02.2020;01:00;-;45;138
01.02.2020;02:00;-;50;152
01.02.2020;03:00;-;50;118
01.02.2020;04:00;-;42;123
01.02.2020;05:00;-;41;116
01.02.2020;06:00;-;45;126
01.02.2020;07:00;-;43;131
01.02.2020;08:00;-;42;105
01.02.2020;09:00;-;44;112
01.02.2020;10:00;-;49;128
01.02.2020;11:00;-;44;120
01.02.2020;12:00;-;52;117
01.02.2020;13:00;-;45;138
01.02.2020;14:00;-;43;141
01.02.2020;15:00;-;48;159
01.02.2020;16:00;-;54;176
01.02.2020;17:00;-;55;192
01.02.2020;18:00;-;50;203
01.02.2020;19:00;-;46;172
01.02.2020;20:00;-;41;141
01.02.2020;21:00;-;43;140
01.02.2020;22:00;-;48;136
01.02.2020;23:00;-;40;138
02.02.2020;00:00;-;50;131
02.02.2020;01:00;-;44;155
02.02.2020;02:00;-;41;136
02.02.2020;03:00;-;41;129
02.02.2020;04:00;-;43;144
02.02.2020;05:00;-;70;198
02.02.2020;06:00;-;68;205
02.02.2020;07:00;-;78;205
02.02.2020;08:00;-;81;208
02.02.2020;09:00;-;80;216
02.02.2020;10:00;-;82;218
02.02.2020;11:00;-;81;222
02.02.2020;12:00;-;81;222
02.02.2020;13:00;-;83;223
02.02.2020;14:00;-;80;223
02.02.2020;15:00;-;79;213
02.02.2020;16:00;-;81;205
02.02.2020;17:00;-;82;208
02.02.2020;18:00;-;80;209
02.02.2020;19:00;-;84;205
02.02.2020;20:00;-;87;212
02.02.2020;21:00;-;86;219
02.02.2020;22:00;-;88;220
02.02.2020;23:00;-;92;222
03.02.2020;00:00;-;88;222
03.02.2020;01:00;-;86;203
03.02.2020;02:00;-;88;211
03.02.2020;03:00;-;88;209
03.02.2020;04:00;-;84;215
03.02.2020;05:00;-;87;217
03.02.2020;06:00;-;82;215
03.02.2020;07:00;-;83;212
