Datum,Uhrzeit,Generation_DE GKN II[MW]
05.02.2020,20:00,1314
05.02.2020,21:00,1313
05.02.2020,22:00,1312
05.02.2020,23:00,1311
06.02.2020,00:00,1310
06.02.2020,01:00,1311
06.02.2020,02:00,1312
06.02.2020,03:00,1312
06.02.2020,04:00,1312
06.02.2020,05:00,1311
06.02.2020,06:00,1310
06.02.2020,07:00,1309
06.02.2020,08:00,1309
06.02.2020,09:00,1310
06.02.2020,10:00,1310
06.02.2020,11:00,1309
06.02.2020,12:00,1309
06.02.2020,13:00,1310
06.02.2020,14:00,1311
06.02.2020,15:00,1309
06.02.2020,16:00,1309
06.02.2020,17:00,1307
06.02.2020,18:00,1309
06.02.2020,19:00,1308
06.02.2020,20:00,1309
06.02.2020,21:00,1309
06.02.2020,22:00,1309
06.02.2020,23:00,1308
07.02.2020,00:00,1308
07.02.2020,01:00,1308
07.02.2020,02:00,1310
07.02.2020,03:00,1310
07.02.2020,04:00,1310
07.02.2020,05:00,1308
07.02.2020,06:00,1311
07.02.2020,07:00,1312
07.02.2020,08:00,1315
07.02.2020,09:00,1313
07.02.2020,10:00,1316
07.02.2020,11:00,1316
07.02.2020,12:00,1313
07.02.2020,13:00,1311
07.02.2020,14:00,1311
07.02.2020,15:00,1314
07.02.2020,16:00,1313
07.02.2020,17:00,1309
07.02.2020,18:00,1310
07.02.2020,19:00,1309
07.02.2020,20:00,1310
07.02.2020,21:00,1313
07.02.2020,22:00,1312
07.02.2020,23:00,1312
08.02.2020,00:00,1312
08.02.2020,01:00,1314
08.02.2020,02:00,1313
08.02.2020,03:00,1314
08.02.2020,04:00,1314
08.02.2020,05:00,1315
08.02.2020,06:00,1317
08.02.2020,07:00,1316
08.02.2020,08:00,1318
08.02.2020,09:00,1317
08.02.2020,10:00,1316
08.02.2020,11:00,1315
08.02.2020,12:00,1314
08.02.2020,13:00,1312
08.02.2020,14:00,1312
08.02.2020,15:00,1311
08.02.2020,16:00,1309
08.02.2020,17:00,1308
08.02.2020,18:00,1307
08.02.2020,19:00,1305
08.02.2020,20:00,1305
08.02.2020,21:00,1306
08.02.2020,22:00,1307
08.02.2020,23:00,1304
09.02.2020,00:00,1307
09.02.2020,01:00,1309
09.02.2020,02:00,1308
09.02.2020,03:00,1307
09.02.2020,04:00,1308
09.02.2020,05:00,1307
09.02.2020,06:00,1307
09.02.2020,07:00,1223
09.02.2020,08:00,1000
09.02.2020,09:00,818
09.02.2020,10:00,497
09.02.2020,11:00,493
09.02.2020,12:00,494
09.02.2020,13:00,494
09.02.2020,14:00,495
09.02.2020,15:00,495
09.02.2020,16:00,709
09.02.2020,17:00,872
09.02.2020,18:00,871
09.02.2020,19:00,871
09.02.2020,20:00,841
09.02.2020,21:00,795
09.02.2020,22:00,793
09.02.2020,23:00,793
10.02.2020,00:00,793
10.02.2020,01:00,793
10.02.2020,02:00,793
10.02.2020,03:00,793
10.02.2020,04:00,797
10.02.2020,05:00,805
10.02.2020,06:00,981
10.02.2020,07:00,1237
10.02.2020,08:00,1301
10.02.2020,09:00,1303
10.02.2020,10:00,1303
10.02.2020,11:00,1304
10.02.2020,12:00,1303
10.02.2020,13:00,1305
10.02.2020,14:00,1307
10.02.2020,15:00,1307
10.02.2020,16:00,1308
10.02.2020,17:00,1307
10.02.2020,18:00,1308
10.02.2020,19:00,1307
10.02.2020,20:00,1307
10.02.2020,21:00,1306
10.02.2020,22:00,1307
10.02.2020,23:00,1306
11.02.2020,00:00,1286
11.02.2020,01:00,1113
11.02.2020,02:00,1022
11.02.2020,03:00,1022
11.02.2020,04:00,1023
