Datum,Uhrzeit,Generation_DE B[MW],Generation_DE A[MW]
02.02.2020,16:00,138,0
02.02.2020,17:00,153,0
02.02.2020,18:00,166,0
02.02.2020,19:00,162,0
02.02.2020,20:00,163,0
02.02.2020,21:00,176,0
02.02.2020,22:00,177,0
02.02.2020,23:00,173,0
03.02.2020,00:00,182,0
03.02.2020,01:00,220,0
03.02.2020,02:00,219,0
03.02.2020,03:00,221,0
03.02.2020,04:00,187,0
03.02.2020,05:00,168,0
03.02.2020,06:00,159,0
03.02.2020,07:00,157,0
03.02.2020,08:00,158,0
03.02.2020,09:00,157,0
03.02.2020,10:00,159,0
03.02.2020,11:00,157,0
03.02.2020,12:00,156,0
03.02.2020,13:00,157,0
03.02.2020,14:00,159,0
03.02.2020,15:00,159,0
03.02.2020,16:00,155,0
03.02.2020,17:00,157,0
03.02.2020,18:00,155,0
03.02.2020,19:00,153,0
03.02.2020,20:00,164,0
03.02.2020,21:00,162,0
03.02.2020,22:00,163,0
03.02.2020,23:00,162,0
04.02.2020,00:00,161,0
04.02.2020,01:00,164,0
04.02.2020,02:00,162,0
04.02.2020,03:00,159,0
04.02.2020,04:00,161,0
04.02.2020,05:00,165,0
04.02.2020,06:00,172,0
04.02.2020,07:00,169,0
04.02.2020,08:00,174,0
04.02.2020,09:00,177,0
04.02.2020,10:00,174,0
04.02.2020,11:00,176,0
04.02.2020,12:00,191,0
04.02.2020,13:00,181,0
04.02.2020,14:00,164,0
04.02.2020,15:00,155,0
04.02.2020,16:00,158,0
04.02.2020,17:00,158,0
04.02.2020,18:00,180,0
04.02.2020,19:00,165,0
04.02.2020,20:00,166,0
04.02.2020,21:00,167,0
04.02.2020,22:00,168,0
04.02.2020,23:00,168,0
05.02.2020,00:00,166,0
05.02.2020,01:00,169,0
05.02.2020,02:00,167,0
05.02.2020,03:00,169,0
05.02.2020,04:00,166,0
05.02.2020,05:00,166,0
05.02.2020,06:00,173,0
05.02.2020,07:00,294,0
05.02.2020,08:00,337,0
05.02.2020,09:00,335,0
05.02.2020,10:00,261,0
05.02.2020,11:00,237,0
05.02.2020,12:00,213,0
05.02.2020,13:00,203,0
05.02.2020,14:00,175,0
05.02.2020,15:00,169,0
05.02.2020,16:00,170,0
05.02.2020,17:00,171,0
05.02.2020,18:00,170,0
05.02.2020,19:00,169,0
05.02.2020,20:00,169,0
05.02.2020,21:00,170,0
05.02.2020,22:00,167,0
05.02.2020,23:00,169,0
06.02.2020,00:00,166,0
06.02.2020,01:00,166,0
06.02.2020,02:00,165,0
06.02.2020,03:00,164,0
06.02.2020,04:00,166,0
06.02.2020,05:00,166,0
06.02.2020,06:00,168,0
06.02.2020,07:00,290,0
06.02.2020,08:00,309,0
06.02.2020,09:00,318,0
06.02.2020,10:00,281,0
06.02.2020,11:00,184,0
06.02.2020,12:00,167,0
06.02.2020,13:00,166,0
06.02.2020,14:00,166,0
06.02.2020,15:00,166,0
06.02.2020,16:00,258,0
06.02.2020,17:00,319,0
06.02.2020,18:00,322,0
06.02.2020,19:00,317,0
06.02.2020,20:00,319,0
06.02.2020,21:00,240,0
06.02.2020,22:00,196,0
06.02.2020,23:00,170,0
07.02.2020,00:00,164,0
07.02.2020,01:00,160,0
07.02.2020,02:00,161,0
07.02.2020,03:00,161,0
07.02.2020,04:00,160,0
07.02.2020,05:00,163,0
07.02.2020,06:00,171,0
07.02.2020,07:00,281,0
07.02.2020,08:00,278,0
07.02.2020,09:00,227,0
07.02.2020,10:00,245,0
07.02.2020,11:00,235,0
07.02.2020,12:00,244,0
07.02.2020,13:00,239,0
07.02.2020,14:00,238,0
07.02.2020,15:00,239,10
07.02.2020,16:00,265,151
07.02.2020,17:00,227,252
07.02.2020,18:00,221,262
07.02.2020,19:00,195,238
07.02.2020,20:00,0,214
07.02.2020,21:00,0,201
07.02.2020,22:00,0,203
07.02.2020,23:00,0,203
08.02.2020,00:00,0,204
08.02.2020,01:00,0,202
08.02.2020,02:00,0,203
08.02.2020,03:00,0,203
